#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
039|for-russia|A PRAYER FOR THE SALVATION OF RUSSIA||||||||||||||||||||||||||||||
040|blessing-psalter-of-st-arsenios-of-cappadocia|BLESSING PSALTER by St Arsenios of Cappadocia. THE PSALTER AS A BOOK OF NEEDS|||||||||||||||||Also in FORMATS: FORMAT:PDF FORMAT:WORD |||||||||||||
041|prayers-at-meals|Prayers Before and After Meals||||||||||||||||||||||||||||||
042|of-a-maiden-for-matrimony|Prayer of a maiden for matrimony||||||||||||||||||||||||||||||
043|to-all-heavenly-hosts-er|Prayer to all Holy Heavenly Hosts|||||||||||||||||In English and Russian. FORMATS: FORMAT:DOC FORMAT:PDF |||||||||||||
044|to-all-heavenly-hosts-er|Prayer to the 7 Archangels|||||||||||||||||In English and Russian.  FORMATS: FORMAT:DOC FORMAT:PDF |||||||||||||
045|of-peter-damaskos-a-prayer|A Prayer of St Peter of Damaskos|||||||||||||||||From 'How to Acquire True Faith',  Philokalia Other Formats:  FORMAT:PDB:PalmPilot |||||||||||||
046|of-dimitry-of-rostov|Prayer of St. Dimitri of Rostov concering Holy Communion|||||||||||||||||And advice from Elder Nazarius concerning it. Also in card form (4 cards to a page):<ul><li><a href="https://www.orthodox.net//trebnic/of-dimitri-of-rostov.rtf">RTF</a></li><li><a href="https://www.orthodox.net//trebnic/of-dimitri-of-rostov.pdf">PDF</a></li></ul> |||||||||||||
047|of-hieroschemamonk-parthenios|The Daily Prayer of Hieroschemamonk Parthenios|||||||||||||||||Other Formats: FORMAT:PDF (4 on a sheet) |||||||||||||
048|of-philaret-of-moscow|Prayer of St Philaret, Metropolitan of Moscow||||||||||||||||||||||||||||||
049|of-paisios-the-great|A Morning prayer of St Paiosios the Great - 4 on a sheet (pdf)|||||||||||||||||Other formats: FORMAT:RTF  |||||||||||||
050|of-optina-elders|The Prayer of the Optina Elders|||||||||||||||||Other formats: FORMAT:PDF (4 on a sheet) |||||||||||||
051|to-theotokos-by-peter-of-damascus|A prayer to the Most Holy Theotokos, by St Peter of Damascus||||||||||||||||||||||||||||||
052|lord-bless-my-enemies|"Lord, Bless My Enemies", A Prayer of St. Nicolai of Ochrid|||||||||||||||||HTML, PDF, RTF and "Prayer Book Card" Formats |||||||||||||
053|of-john-kronstadt-for-the-granting-of-prayer|PRAYER FOR THE GRANTING OF PRAYER|||||||||||||||||St. John of Kronstadt My Life in Christ Other Formats: (4 on a sheet): FORMAT:PDF  FORMAT:RTF |||||||||||||
054|of-gregory-nazianzus|Hymn of St. Gregory Nazianzus |||||||||||||||||"O all-transcendent God what other name describes Thee?" |||||||||||||
055|of-symeon-new-theologian-thou-o-christ|Thou, O Christ, art the Kingdom of Heaven: |||||||||||||||||A Prayer of St. Symeon the New Theologian OTHER FORMATS: FORMAT:pdf FORMAT:rtf |||||||||||||
056|of-nersess-the-gracious-a-lenten-prayer|Lenten prayer of Nersess the Gracious|||||||||||||||||This is an extremely edifying and richly dogmatic prayer, suitable for all Orthodox Christians.  The publication of this prayer on this website does not constitute any acknowledgment or denial of the sanctity of “Nersess the Gracious”.  Nersess the Gracious (1100-1173) is revered by the Armenian Orthodox Church as a saint.  |||||||||||||
057|of-ambrose-before-celebrating-mysteries|Prayer For Those Preparing To Celebrate The Divine Mysteries Of Saint Ambrose of Milan|||||||||||||||||Great to read before beginning the Liturgy! |||||||||||||
058|of-john-of-kronstadt-before-serving|Priest's prayer before Serving by St John of Kronstadt|||||||||||||||||In all my service books. I think all priests should pray this pray before Liturgy and Vigil especially. Also in <a href="https://www.orthodox.net//trebnic/of-john-of-kronstadt-before-serving.doc">WORD format</a> Also in <a href="https://www.orthodox.net//trebnic/of-john-of-kronstadt-before-serving.pdf">PDF format</a> ALSO IN CARD FORMAT (4 to a page):  <a href="https://www.orthodox.net//trebnic/of-john-of-kronstadt-before-serving-card.doc">Card in Word formate</a> <a href="https://www.orthodox.net//trebnic/of-john-of-kronstadt-before-serving-card.pdf">Card in PDF formate</a> |||||||||||||
059|of-papa-dimitri-gagastathis|Prayer Of A Priest -  Blessed Papa Dimitri Gagastathis (1902 - 1975)|||||||||||||||||EXCELLENT TO SAY before serving. Also in <a href="https://www.orthodox.net//trebnic/of-papa-dimitri-gagastathis.doc">WORD format</a> <a href="https://www.orthodox.net//trebnic/of-papa-dimitri-gagastathis.pdf">PDF format</a> IN CARD FORMAT HERE: <a href="https://www.orthodox.net//trebnic/of-papa-dimitri-gagastathis-card.doc">WORD CARD</a> <a href="https://www.orthodox.net//trebnic/of-papa-dimitri-gagastathis-pdf.pdf">PDF CARD</a> |||||||||||||
